State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,rice,1595.5,3788
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,maize,73,253
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,banana,360,5517
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,coconut ,3540,11000000
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,cotton,7300,9400
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,maize,2800,4900
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,rice,35600,75400
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,maize,600,2400
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,rice,18000,37300
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,cotton,14000,12900
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,maize,3300,6700
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,rice,38300,96800
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,maize,300,1600
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,rice,26600,63900
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,cotton,9453,10510
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,maize,3358,9540
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,rice,37991,105082
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,maize,455,2203
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,rice,20258,45669
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,cotton,12025,16128
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,maize,3475,9049
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,rice,39905,117680
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,maize,399,2148
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,rice,22099,57236
Andhra Pradesh,ANANTAPUR,2000,Whole Year ,banana,769,11693
Andhra Pradesh,ANANTAPUR,2000,Whole Year ,coconut ,908,3896970
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,cotton,8552,9055
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,maize,2667,7129
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,rice,32878,95609
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,maize,447,2893
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,rice,38119,108906
Andhra Pradesh,ANANTAPUR,2001,Whole Year ,banana,1582,462
Andhra Pradesh,ANANTAPUR,2001,Whole Year ,coconut ,851,3053700
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,cotton,7638,7144
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,maize,3541,3431
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,rice,29066,66329
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,maize,1288,8933
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,rice,10960,20462
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,banana,19,1006
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,coconut ,869,3691149
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,grapess,111,2075
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,mango,3968,26176
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,orange,13767,112541
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,papaya,1544,201409
Andhra Pradesh,ANANTAPUR,2003,Kharif     ,cotton,4212,4262
Andhra Pradesh,ANANTAPUR,2003,Kharif     ,maize,6246,10718
Andhra Pradesh,ANANTAPUR,2003,Kharif     ,rice,17515,44891
Andhra Pradesh,ANANTAPUR,2003,Rabi       ,maize,1212,6787
Andhra Pradesh,ANANTAPUR,2003,Rabi       ,rice,10826,25463
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,banana,36,1302
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,coconut ,839,3285828
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,grapess,118,2048
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,mango,3935,58337
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,orange,13441,224640
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,papaya,1381,60038
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,cotton,8933,7041
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,maize,3495,10031
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,rice,24335,85051
Andhra Pradesh,ANANTAPUR,2004,Rabi       ,maize,3572,25822
Andhra Pradesh,ANANTAPUR,2004,Rabi       ,rice,9240,21622
Andhra Pradesh,ANANTAPUR,2004,Whole Year ,banana,324,16897
Andhra Pradesh,ANANTAPUR,2004,Whole Year ,coconut ,837,6413350
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,cotton,3295,3450
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,maize,5958,21538
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,rice,25008,69972
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,maize,1435,10721
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,rice,23142,55587
Andhra Pradesh,ANANTAPUR,2005,Whole Year ,banana,303,16231
Andhra Pradesh,ANANTAPUR,2005,Whole Year ,coconut ,836,3358992
Andhra Pradesh,ANANTAPUR,2006,Kharif     ,cotton,1506,1940
Andhra Pradesh,ANANTAPUR,2006,Kharif     ,maize,4877,20181
Andhra Pradesh,ANANTAPUR,2006,Kharif     ,rice,22349,67427
Andhra Pradesh,ANANTAPUR,2006,Rabi       ,maize,3120,23640
Andhra Pradesh,ANANTAPUR,2006,Rabi       ,rice,10846,31974
Andhra Pradesh,ANANTAPUR,2006,Whole Year ,banana,289,14141
Andhra Pradesh,ANANTAPUR,2006,Whole Year ,coconut ,790,6404076
Andhra Pradesh,ANANTAPUR,2007,Kharif     ,cotton,3000,2000
Andhra Pradesh,ANANTAPUR,2007,Kharif     ,maize,7000,32000
Andhra Pradesh,ANANTAPUR,2007,Kharif     ,rice,30000,95000
Andhra Pradesh,ANANTAPUR,2007,Rabi       ,maize,6000,48000
Andhra Pradesh,ANANTAPUR,2007,Rabi       ,rice,14000,37000
Andhra Pradesh,ANANTAPUR,2008,Kharif     ,cotton,1611,1241
Andhra Pradesh,ANANTAPUR,2008,Kharif     ,maize,6041,20896
Andhra Pradesh,ANANTAPUR,2008,Kharif     ,rice,30306,94615
Andhra Pradesh,ANANTAPUR,2008,Rabi       ,maize,3658,32300
Andhra Pradesh,ANANTAPUR,2008,Rabi       ,rice,18416,49815
Andhra Pradesh,ANANTAPUR,2008,Whole Year ,banana,3603,160939
Andhra Pradesh,ANANTAPUR,2008,Whole Year ,coconut ,786,7141464
Andhra Pradesh,ANANTAPUR,2009,Kharif     ,cotton,2063,1226
Andhra Pradesh,ANANTAPUR,2009,Kharif     ,maize,8852,43924
Andhra Pradesh,ANANTAPUR,2009,Kharif     ,rice,32226,101512
Andhra Pradesh,ANANTAPUR,2009,Rabi       ,maize,4615,33736
Andhra Pradesh,ANANTAPUR,2009,Rabi       ,rice,19428,46899
Andhra Pradesh,ANANTAPUR,2009,Whole Year ,banana,5010,265981
Andhra Pradesh,ANANTAPUR,2009,Whole Year ,coconut ,725,4247685
Andhra Pradesh,ANANTAPUR,2010,Kharif     ,cotton,4338,2977
Andhra Pradesh,ANANTAPUR,2010,Kharif     ,maize,10726,51174
Andhra Pradesh,ANANTAPUR,2010,Kharif     ,rice,34973,102007
Andhra Pradesh,ANANTAPUR,2010,Rabi       ,maize,4750,43306
Andhra Pradesh,ANANTAPUR,2010,Rabi       ,rice,24828,69394
Andhra Pradesh,ANANTAPUR,2010,Whole Year ,banana,4416,223825
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,cotton,19299,12069
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,maize,25447,63465
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,rice,37720,94531
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,maize,6208,48168
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,rice,10948,25542
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,banana,8000,505176
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,coconut ,895,7165320
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,cotton,27566,35511
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,grapess,238,7606
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,maize,22039,63516
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,mango,6276,57601
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,papaya,447,17197
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,rice,22056,58691
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,cotton,77,99
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,maize,7070,50098
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,rice,6998,17768
Andhra Pradesh,ANANTAPUR,2012,Whole Year ,coconut ,646,5571000
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,cotton,37661,77316
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,grapess,247,5644
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,maize,27087,53226
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,mango,8711,74653
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,papaya,230,22418
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,rice,28114,59377
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,cotton,62,127
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,maize,7777,57970
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,rice,12283,28558
Andhra Pradesh,ANANTAPUR,2013,Whole Year ,banana,8661,483881
Andhra Pradesh,ANANTAPUR,2013,Whole Year ,coconut ,552,3969000
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,cotton,73734,103779
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,grapess,309,6886
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,maize,16839,42687
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,mango,11278,70939
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,papaya,374,29443
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,rice,22658,68155
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,cotton,884,1244
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,maize,4474,31618
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,rice,6553,14377
Andhra Pradesh,ANANTAPUR,2014,Whole Year ,coconut ,687,5756000
Andhra Pradesh,ANANTAPUR,2014,Whole Year ,rice,29211,82532
Andhra Pradesh,CHITTOOR,1997,Kharif     ,maize,100,300
Andhra Pradesh,CHITTOOR,1997,Kharif     ,rice,42300,84400
Andhra Pradesh,CHITTOOR,1997,Rabi       ,rice,57400,137400
Andhra Pradesh,CHITTOOR,1998,Kharif     ,maize,100,300
Andhra Pradesh,CHITTOOR,1998,Kharif     ,rice,42000,105400
Andhra Pradesh,CHITTOOR,1998,Rabi       ,maize,100,300
Andhra Pradesh,CHITTOOR,1998,Rabi       ,rice,62400,159200
Andhra Pradesh,CHITTOOR,1999,Kharif     ,cotton,2,2
Andhra Pradesh,CHITTOOR,1999,Kharif     ,maize,181,514
Andhra Pradesh,CHITTOOR,1999,Kharif     ,rice,37542,75477
Andhra Pradesh,CHITTOOR,1999,Rabi       ,maize,67,324
Andhra Pradesh,CHITTOOR,1999,Rabi       ,rice,37489,76800
Andhra Pradesh,CHITTOOR,2000,Kharif     ,cotton,19,25
Andhra Pradesh,CHITTOOR,2000,Kharif     ,maize,357,930
Andhra Pradesh,CHITTOOR,2000,Kharif     ,rice,33776,89236
Andhra Pradesh,CHITTOOR,2000,Rabi       ,maize,56,302
Andhra Pradesh,CHITTOOR,2000,Rabi       ,rice,41442,97181
Andhra Pradesh,CHITTOOR,2000,Whole Year ,banana,953,19033
Andhra Pradesh,CHITTOOR,2000,Whole Year ,coconut ,4011,17215660
Andhra Pradesh,CHITTOOR,2001,Kharif     ,cotton,2,2
Andhra Pradesh,CHITTOOR,2001,Kharif     ,maize,294,786
Andhra Pradesh,CHITTOOR,2001,Kharif     ,rice,24377,55311
Andhra Pradesh,CHITTOOR,2001,Rabi       ,maize,81,524
Andhra Pradesh,CHITTOOR,2001,Rabi       ,rice,62049,170573
Andhra Pradesh,CHITTOOR,2001,Whole Year ,banana,1005,7156
Andhra Pradesh,CHITTOOR,2001,Whole Year ,coconut ,4133,14827800
Andhra Pradesh,CHITTOOR,2002,Kharif     ,maize,261,253
Andhra Pradesh,CHITTOOR,2002,Kharif     ,rice,20137,50020
Andhra Pradesh,CHITTOOR,2002,Rabi       ,maize,284,1968
Andhra Pradesh,CHITTOOR,2002,Rabi       ,rice,30034,76827
Andhra Pradesh,CHITTOOR,2002,Whole Year ,banana,960,50841
Andhra Pradesh,CHITTOOR,2002,Whole Year ,coconut ,4296,17209269
Andhra Pradesh,CHITTOOR,2002,Whole Year ,grapess,36,673
Andhra Pradesh,CHITTOOR,2002,Whole Year ,mango,47834,335015
Andhra Pradesh,CHITTOOR,2002,Whole Year ,orange,4,39
Andhra Pradesh,CHITTOOR,2002,Whole Year ,papaya,39,5087
Andhra Pradesh,CHITTOOR,2002,Whole Year ,chickpea  (vegetable),1,0
Andhra Pradesh,CHITTOOR,2003,Kharif     ,maize,742,1273
Andhra Pradesh,CHITTOOR,2003,Kharif     ,rice,18495,38562
Andhra Pradesh,CHITTOOR,2003,Rabi       ,maize,392,2195
Andhra Pradesh,CHITTOOR,2003,Rabi       ,rice,27286,46714
Andhra Pradesh,CHITTOOR,2003,Whole Year ,banana,587,21222
Andhra Pradesh,CHITTOOR,2003,Whole Year ,coconut ,4294,16827552
Andhra Pradesh,CHITTOOR,2003,Whole Year ,grapess,32,555
Andhra Pradesh,CHITTOOR,2003,Whole Year ,mango,48572,234579
Andhra Pradesh,CHITTOOR,2003,Whole Year ,orange,6,96
Andhra Pradesh,CHITTOOR,2003,Whole Year ,papaya,17,1544
Andhra Pradesh,CHITTOOR,2004,Kharif     ,maize,509,1461
Andhra Pradesh,CHITTOOR,2004,Kharif     ,rice,19055,43331
Andhra Pradesh,CHITTOOR,2004,Rabi       ,maize,354,2559
Andhra Pradesh,CHITTOOR,2004,Rabi       ,rice,25822,69177
Andhra Pradesh,CHITTOOR,2004,Whole Year ,banana,586,30560
Andhra Pradesh,CHITTOOR,2004,Whole Year ,coconut ,4165,31934060
Andhra Pradesh,CHITTOOR,2005,Kharif     ,cotton,4,4
Andhra Pradesh,CHITTOOR,2005,Kharif     ,maize,417,2150
Andhra Pradesh,CHITTOOR,2005,Kharif     ,rice,16240,37173
Andhra Pradesh,CHITTOOR,2005,Rabi       ,maize,356,2660
Andhra Pradesh,CHITTOOR,2005,Rabi       ,rice,66351,193612
Andhra Pradesh,CHITTOOR,2005,Whole Year ,banana,468,25070
Andhra Pradesh,CHITTOOR,2005,Whole Year ,coconut ,3914,15729168
Andhra Pradesh,CHITTOOR,2006,Kharif     ,maize,386,1378
Andhra Pradesh,CHITTOOR,2006,Kharif     ,rice,17049,42520
Andhra Pradesh,CHITTOOR,2006,Rabi       ,maize,788,5971
Andhra Pradesh,CHITTOOR,2006,Rabi       ,rice,29164,85101
Andhra Pradesh,CHITTOOR,2006,Whole Year ,banana,556,27205
Andhra Pradesh,CHITTOOR,2006,Whole Year ,coconut ,4307,34924554
Andhra Pradesh,CHITTOOR,2007,Kharif     ,maize,1000,3000
Andhra Pradesh,CHITTOOR,2007,Kharif     ,rice,15000,42000
Andhra Pradesh,CHITTOOR,2007,Rabi       ,maize,1000,4000
Andhra Pradesh,CHITTOOR,2007,Rabi       ,rice,37000,116000
Andhra Pradesh,CHITTOOR,2008,Kharif     ,cotton,24,37
Andhra Pradesh,CHITTOOR,2008,Kharif     ,maize,843,3937
Andhra Pradesh,CHITTOOR,2008,Kharif     ,rice,17596,46242
Andhra Pradesh,CHITTOOR,2008,Rabi       ,maize,957,8450
Andhra Pradesh,CHITTOOR,2008,Rabi       ,rice,37927,118636
Andhra Pradesh,CHITTOOR,2008,Whole Year ,banana,708,22390
Andhra Pradesh,CHITTOOR,2008,Whole Year ,coconut ,3915,35594856
Andhra Pradesh,CHITTOOR,2009,Kharif     ,cotton,66,94
Andhra Pradesh,CHITTOOR,2009,Kharif     ,maize,1326,4915
Andhra Pradesh,CHITTOOR,2009,Kharif     ,rice,19758,56192
Andhra Pradesh,CHITTOOR,2009,Rabi       ,maize,611,4466
Andhra Pradesh,CHITTOOR,2009,Rabi       ,rice,35155,113937
Andhra Pradesh,CHITTOOR,2009,Whole Year ,banana,769,40826
Andhra Pradesh,CHITTOOR,2009,Whole Year ,coconut ,3893,22798170
Andhra Pradesh,CHITTOOR,2010,Kharif     ,cotton,235,98
Andhra Pradesh,CHITTOOR,2010,Kharif     ,maize,970,4969
Andhra Pradesh,CHITTOOR,2010,Kharif     ,rice,18019,53639
Andhra Pradesh,CHITTOOR,2010,Rabi       ,maize,539,4914
Andhra Pradesh,CHITTOOR,2010,Rabi       ,rice,43558,131502
Andhra Pradesh,CHITTOOR,2010,Whole Year ,banana,923,46782
Andhra Pradesh,CHITTOOR,2011,Kharif     ,cotton,400,65
Andhra Pradesh,CHITTOOR,2011,Kharif     ,maize,930,3084
Andhra Pradesh,CHITTOOR,2011,Kharif     ,rice,17342,55719
Andhra Pradesh,CHITTOOR,2011,Rabi       ,maize,877,6805
Andhra Pradesh,CHITTOOR,2011,Rabi       ,rice,33764,113211
Andhra Pradesh,CHITTOOR,2011,Whole Year ,banana,886,55948
Andhra Pradesh,CHITTOOR,2011,Whole Year ,coconut ,3663,29376960
Andhra Pradesh,CHITTOOR,2012,Kharif     ,cotton,317,405
Andhra Pradesh,CHITTOOR,2012,Kharif     ,grapess,30,546
Andhra Pradesh,CHITTOOR,2012,Kharif     ,maize,1078,4375
Andhra Pradesh,CHITTOOR,2012,Kharif     ,mango,56760,502212
Andhra Pradesh,CHITTOOR,2012,Kharif     ,papaya,558,60785
Andhra Pradesh,CHITTOOR,2012,Kharif     ,rice,12952,45241
Andhra Pradesh,CHITTOOR,2012,Rabi       ,cotton,226,288
Andhra Pradesh,CHITTOOR,2012,Rabi       ,maize,547,3876
Andhra Pradesh,CHITTOOR,2012,Rabi       ,rice,34557,126168
Andhra Pradesh,CHITTOOR,2012,Whole Year ,coconut ,3351,28899000
Andhra Pradesh,CHITTOOR,2013,Kharif     ,cotton,157,391
Andhra Pradesh,CHITTOOR,2013,Kharif     ,grapess,23,417
Andhra Pradesh,CHITTOOR,2013,Kharif     ,maize,1905,7683
Andhra Pradesh,CHITTOOR,2013,Kharif     ,mango,66615,588344
Andhra Pradesh,CHITTOOR,2013,Kharif     ,papaya,526,13845
Andhra Pradesh,CHITTOOR,2013,Kharif     ,rice,15206,48766
Andhra Pradesh,CHITTOOR,2013,Rabi       ,cotton,194,483
Andhra Pradesh,CHITTOOR,2013,Rabi       ,maize,1303,9713
Andhra Pradesh,CHITTOOR,2013,Rabi       ,rice,34654,120249
Andhra Pradesh,CHITTOOR,2013,Whole Year ,banana,910,50203
Andhra Pradesh,CHITTOOR,2013,Whole Year ,coconut ,2760,19847000
Andhra Pradesh,CHITTOOR,2014,Kharif     ,cotton,308,723
Andhra Pradesh,CHITTOOR,2014,Kharif     ,grapess,32,932
Andhra Pradesh,CHITTOOR,2014,Kharif     ,maize,2693,8820
Andhra Pradesh,CHITTOOR,2014,Kharif     ,mango,64633,462384
Andhra Pradesh,CHITTOOR,2014,Kharif     ,papaya,519,13790
Andhra Pradesh,CHITTOOR,2014,Kharif     ,rice,13304,44462
Andhra Pradesh,CHITTOOR,2014,Rabi       ,cotton,545,1278
Andhra Pradesh,CHITTOOR,2014,Rabi       ,maize,984,6429
Andhra Pradesh,CHITTOOR,2014,Rabi       ,rice,27661,87962
Andhra Pradesh,CHITTOOR,2014,Whole Year ,coconut ,3465,29033000
Andhra Pradesh,CHITTOOR,2014,Whole Year ,rice,40965,132424
Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,cotton,9800,23400
Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,maize,1600,2900
Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,rice,214100,429300
Andhra Pradesh,EAST GODAVARI,1997,Rabi       ,maize,3600,13700
Andhra Pradesh,EAST GODAVARI,1997,Rabi       ,rice,154400,491500
Andhra Pradesh,EAST GODAVARI,1998,Kharif     ,cotton,7900,6300
Andhra Pradesh,EAST GODAVARI,1998,Kharif     ,maize,1700,3600
Andhra Pradesh,EAST GODAVARI,1998,Kharif     ,rice,256300,386600
Andhra Pradesh,EAST GODAVARI,1998,Rabi       ,maize,3800,18700
Andhra Pradesh,EAST GODAVARI,1998,Rabi       ,rice,157600,656600
Andhra Pradesh,EAST GODAVARI,1999,Kharif     ,cotton,4410,7289
Andhra Pradesh,EAST GODAVARI,1999,Kharif     ,maize,1522,4324
Andhra Pradesh,EAST GODAVARI,1999,Kharif     ,rice,244655,628606
Andhra Pradesh,EAST GODAVARI,1999,Rabi       ,maize,4266,20652
Andhra Pradesh,EAST GODAVARI,1999,Rabi       ,rice,161551,645162
Andhra Pradesh,EAST GODAVARI,2000,Kharif     ,cotton,5580,10536
Andhra Pradesh,EAST GODAVARI,2000,Kharif     ,maize,1406,3661
Andhra Pradesh,EAST GODAVARI,2000,Kharif     ,rice,253966,683423
Andhra Pradesh,EAST GODAVARI,2000,Rabi       ,maize,4108,22117
Andhra Pradesh,EAST GODAVARI,2000,Rabi       ,rice,162861,683202
Andhra Pradesh,EAST GODAVARI,2000,Whole Year ,banana,11043,124386
Andhra Pradesh,EAST GODAVARI,2000,Whole Year ,coconut ,48237,588584535
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,cotton,6289,16425
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,maize,1204,3218
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,rice,220811,579850
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,maize,2597,16810
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,rice,165779,750150
Andhra Pradesh,EAST GODAVARI,2001,Whole Year ,banana,10258,122822
Andhra Pradesh,EAST GODAVARI,2001,Whole Year ,coconut ,48515,629772990
Andhra Pradesh,EAST GODAVARI,2002,Kharif     ,cotton,4555,8092
Andhra Pradesh,EAST GODAVARI,2002,Kharif     ,maize,1423,1379
Andhra Pradesh,EAST GODAVARI,2002,Kharif     ,rice,194809,551115
Andhra Pradesh,EAST GODAVARI,2002,Rabi       ,maize,5975,41407
Andhra Pradesh,EAST GODAVARI,2002,Rabi       ,rice,106427,491906
Andhra Pradesh,EAST GODAVARI,2002,Whole Year ,banana,7949,116270
Andhra Pradesh,EAST GODAVARI,2002,Whole Year ,coconut ,49479,685943720
